def add_numbers(a, b):   print(a + b);add_numbers(5, 3);8;Add two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(10, 4);6;Subtract two numbers;num;2
def multiply_numbers(a, b):    print(a * b);multiply_numbers(7, 6);42;Multiply two numbers;num;2
def divide_numbers(a, b):    print(a / b) if b != 0 else print('cannot divide by 0');divide_numbers(8, 2);4.0;Divide two numbers;num;2
def is_even(n):    print( n % 2 == 0);is_even(4);True;Check if a number is even;num;1
def is_odd(n):    print( n % 2 != 0);is_odd(5);True;Check if a number is odd;num;1
def square(n):    print( n * n);square(6);36;Find the square of a number;num;1
def cube(n):    print( n * n * n);cube(3);27;Find the cube of a number;num;1
def is_power_of_two(n):    print( n > 0 and (n & (n - 1)) == 0);is_power_of_two(8);True;Check if a number is a power of two;num;1
def power(a, b): print( a ** b);power(2, 3);8;Raise a to the power of b;num;2
def absolute_value(a): print( a if a >= 0 else -a);absolute_value(-10);10;Find the absolute value of a number;num;1
def negate(a): print( -a);negate(5);-5;Negate a number;num;1
def integer_division(a, b): print( a // b if b != 0 else 'undefined');integer_division(9, 2);4;Perform integer division;num;2
def add_five(a): print( a + 5);add_five(3);8;Add five to a number;num;1
def subtract_five(a): print( a - 5);subtract_five(10);5;Subtract five from a number;num;1
def double(a): print( a * 2);double(6);12;Double a number;num;1
def half(a): print( a / 2);half(8);4.0;Find half of a number;num;1
def increment(a): print( a + 1);increment(7);8;Increment a number by one;num;1
def decrement(a): print( a - 1);decrement(5);4;Decrement a number by one;num;1
def multiply_by_ten(a): print( a * 10);multiply_by_ten(3);30;Multiply a number by ten;num;1
def divide_by_ten(a): print( a / 10);divide_by_ten(20);2.0;Divide a number by ten;num;1
def add_ten(a): print( a + 10);add_ten(5);15;Add ten to a number;num;1
def subtract_ten(a): print( a - 10);subtract_ten(15);5;Subtract ten from a number;num;1
def add_three(a, b, c): print( a + b + c);add_three(1, 2, 3);6;Add three numbers;num;3
def multiply_three(a, b, c): print( a * b * c);multiply_three(2, 3, 4);24;Multiply three numbers;num;3
def subtract_three(a, b, c): print( a - b - c);subtract_three(10, 2, 3);5;Subtract three numbers;num;3
def add_four(a, b, c, d): print( a + b + c + d);add_four(1, 2, 3, 4);10;Add four numbers;num;4
def multiply_four(a, b, c, d): print( a * b * c * d);multiply_four(1, 2, 3, 4);24;Multiply four numbers;num;4
def divide_by_four(a): print( a / 4);divide_by_four(16);4.0;Divide a number by four;num;1
def add_one_hundred(a): print( a + 100);add_one_hundred(50);150;Add one hundred to a number;num;1
def subtract_one_hundred(a): print( a - 100);subtract_one_hundred(150);50;Subtract one hundred from a number;num;1
def average(a, b): print( (a + b) / 2);average(4, 6);5.0;Find the average of two numbers;num;2
def add_fractions(num1, denom1, num2, denom2): print( (num1 * denom2 + num2 * denom1, denom1 * denom2));add_fractions(1, 2, 1, 3);(5, 6);Add two fractions;num;4
def multiply_fractions(num1, denom1, num2, denom2): print( (num1 * num2, denom1 * denom2));multiply_fractions(1, 2, 1, 3);(1, 6);Multiply two fractions;num;4
def subtract_fractions(num1, denom1, num2, denom2): print( (num1 * denom2 - num2 * denom1, denom1 * denom2));subtract_fractions(1, 2, 1, 3);(1, 6);Subtract two fractions;num;4
def divide_fractions(num1, denom1, num2, denom2): print( (num1 * denom2, denom1 * num2) if num2 != 0 else 'undefined');divide_fractions(1, 2, 1, 3);(3, 2);Divide two fractions;num;4
def area_of_rectangle(length, width): print( length * width);area_of_rectangle(5, 4);20;Calculate the area of a rectangle;num;2
def perimeter_of_rectangle(length, width): print( 2 * (length + width));perimeter_of_rectangle(5, 4);18;Calculate the perimeter of a rectangle;num;2
def area_of_triangle(base, height): print( 0.5 * base * height);area_of_triangle(4, 5);10.0;Calculate the area of a triangle;num;2
def perimeter_of_triangle(side1, side2, side3): print( side1 + side2 + side3);perimeter_of_triangle(3, 4, 5);12;Calculate the perimeter of a triangle;num;3
def circumference_of_circle(radius): print( 2 * 3.14 * radius);circumference_of_circle(7);43.96;Calculate the circumference of a circle;num;1
def area_of_circle(radius): print( 3.14 * radius * radius);area_of_circle(7);153.86;Calculate the area of a circle;num;1
def sort_two_ascending(a, b): print( (a, b) if a < b else (b, a));sort_two_ascending(8, 3);(3, 8);Sort two numbers in ascending order;num;2
def sort_two_descending(a, b): print( (b, a) if a < b else (a, b));sort_two_descending(8, 3);(8, 3);Sort two numbers in descending order;num;2
def sort_three_ascending(a, b, c): print( (a, b, c) if a <= b <= c else (a, c, b) if a <= c <= b else (b, a, c) if b <= a <= c else (b, c, a) if b <= c <= a else (c, a, b) if c <= a <= b else (c, b, a));sort_three_ascending(3, 1, 2);(1, 2, 3);Sort three numbers in ascending order;num;3
def sort_three_descending(a, b, c): print( (c, b, a) if a <= b <= c else (b, a, c) if a <= c <= b else (c, a, b) if b <= a <= c else (a, c, b) if b <= c <= a else (b, c, a) if c <= a <= b else (a, b, c));sort_three_descending(3, 1, 2);(3, 2, 1);Sort three numbers in descending order;num;3
def min_of_two(a, b): print( a if a < b else b);min_of_two(5, 10);5;Return the minimum of two numbers;num;2
def max_of_two(a, b): print( a if a > b else b);max_of_two(5, 10);10;Return the maximum of two numbers;num;2
def min_of_three(a, b, c): print( a if a <= b and a <= c else b if b <= c else c);min_of_three(5, 10, 2);2;Return the minimum of three numbers;num;3
def max_of_three(a, b, c): print( a if a >= b and a >= c else b if b >= c else c);max_of_three(5, 10, 2);10;Return the maximum of three numbers;num;3
def add_numbers(a, b):   print(a + b);add_numbers(9, 6);15;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(3, 7);10;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(3, 6);9;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(9, 4);13;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(3, 7);10;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(5, 9);14;Add two numbers;num;2
